channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
292,157,135,476,961,222,454,420,
288,158,127,461,860,194,474,361,
227,135,104,413,822,180,418,303,
158,113,90,305,707,152,362,272,
123,94,73,263,608,127,313,255,
92,70,59,216,433,85,256,222,
85,40,39,104,242,41,110,114,
59,35,34,80,202,31,80,87,
36,25,29,48,110,26,52,59,
31,25,26,43,87,26,38,44,
23,24,22,27,37,23,25,27,
23,24,24,26,32,24,24,25,
24,26,25,24,31,25,23,27,
23,27,23,23,29,25,25,25,
23,26,23,22,27,23,23,25,
24,23,23,22,23,22,23,24,
24,25,27,25,23,21,22,24,
24,24,25,25,24,22,24,24,
21,25,25,25,23,22,27,23,
24,26,26,25,23,23,27,21,
23,26,27,25,25,22,28,21,
24,24,25,23,25,22,27,21,
24,24,27,22,25,22,26,24,
23,23,25,22,25,21,24,23,
23,24,26,22,23,22,25,22,
22,25,26,22,21,21,24,21,
24,25,24,23,21,21,24,20,
26,23,25,25,22,21,25,21,
24,23,26,22,24,24,25,23,
25,24,25,23,24,23,24,22,
26,25,25,24,24,24,26,22,
24,27,25,24,27,25,24,21,
23,28,25,24,27,25,25,22,
23,27,25,21,25,22,24,22,
25,27,25,23,25,22,23,20,
25,28,25,23,27,22,23,19,
24,26,26,24,26,21,23,19,
24,26,27,26,27,22,24,20,
26,27,26,26,29,25,25,21,
24,27,27,27,27,27,24,22,
24,25,26,27,25,25,25,24,
25,26,27,26,26,26,25,25,
24,27,25,25,26,27,23,25,
23,24,27,24,23,25,21,23,
23,28,26,23,24,23,23,23,
24,27,26,24,26,24,20,21,
25,25,26,25,26,23,20,21,
25,22,27,25,26,22,19,18,
24,24,26,25,26,22,20,19,
21,24,25,23,26,23,21,18,
24,21,24,22,45,45,26,23,
23,23,24,25,56,52,29,23,
23,25,28,27,58,53,29,24,
25,29,26,29,106,75,33,28,
26,28,26,29,109,76,35,27,
26,28,27,29,116,80,37,27,
34,30,27,149,121,114,49,44,
35,30,28,166,110,114,54,49,
34,30,25,167,108,113,53,51,
35,29,25,168,107,114,55,51,
37,30,24,170,120,118,58,55,
30,30,25,91,129,97,93,67,
31,28,29,57,156,100,109,84,
34,30,33,55,162,156,111,87,
35,31,35,138,201,181,122,90,
39,30,38,358,280,225,135,109,
74,48,46,406,368,274,182,185,
127,83,64,438,432,388,327,269,
136,90,66,455,434,414,377,293,
128,89,69,465,389,420,442,266,
130,87,76,599,374,445,467,267,
136,92,88,582,340,443,552,292,
102,71,91,601,387,398,538,310,
95,73,99,676,459,387,532,297,
107,78,101,758,511,377,594,314,
108,85,97,695,512,345,615,321,
108,79,91,761,525,386,702,339,
136,108,117,976,583,544,736,348,
194,117,121,1040,693,599,743,371,
206,125,128,1102,763,679,792,406,
377,184,163,1237,824,825,889,543,
399,198,170,1280,838,878,912,633,
475,239,183,1217,700,900,1056,759,
570,283,284,1286,771,922,1079,802,
531,263,273,1338,758,952,1070,835,
560,263,304,1482,805,958,1037,884,
555,240,303,1452,833,984,1097,896,
586,261,343,1367,863,1044,1159,980,
582,247,314,1410,742,1079,1176,1038,
591,261,349,1317,771,981,1131,1069,
616,297,343,1149,845,956,1176,1107,
667,324,363,1352,867,1024,1150,1102,
693,320,384,1387,938,1064,1083,1073,
729,333,353,1358,865,1175,1029,1091,
675,314,277,1358,809,1111,1010,1057,
649,313,287,1307,848,1041,964,1155,
563,276,301,1358,827,931,895,1178,
533,264,271,1224,798,964,950,1179,
579,251,270,1144,762,887,1051,1107,
559,247,260,1154,710,861,1099,1005,
577,258,248,1231,837,978,1202,904,
576,251,237,1182,818,1048,1168,950,
554,249,279,1195,882,1104,1161,1052,
503,258,290,1331,910,1132,1248,1022,
521,253,269,1252,741,1231,1191,1119,
484,246,310,1422,844,1190,1193,1038,
488,241,297,1431,872,1177,1250,921,
549,240,286,1397,939,1221,1216,941,
572,248,284,1303,921,1134,1159,909,
603,276,294,1395,983,1077,1164,976,
659,286,273,1270,911,1060,1172,1030,
640,286,293,1304,870,988,1054,1025,
607,289,304,1311,794,939,1064,1069,
599,309,309,1325,813,994,1189,1092,
559,275,353,1425,887,1022,1139,1056,
500,267,346,1494,889,1036,1127,1035,
549,281,307,1472,844,1052,1201,1072,
582,293,316,1403,764,1089,1224,1069,
566,267,311,1394,700,1139,1100,1041,
590,298,302,1277,658,1165,1176,935,
571,285,310,1241,683,1142,1179,935,
536,275,354,1253,752,1179,1168,976,
528,272,376,1264,860,1212,1127,960,
512,270,369,1307,877,1149,1135,1007,
508,251,333,1227,800,1098,1087,1030,
