2,-1,-2,16,13,3,-1,1
0,-4,-11,-22,16,7,0,0
0,-5,-3,9,-14,-5,-3,-2
-3,0,-8,-40,-2,-4,-4,-2
1,2,-4,-7,-19,-5,0,0
-6,5,-6,-18,-15,-2,1,0
1,-6,-11,31,9,1,-1,6
-1,-6,-4,10,5,-4,-4,-21
-2,-2,-4,-7,0,-2,-3,1
0,-5,2,10,4,-1,-3,-2
-1,4,6,-18,-2,-3,2,-1
-1,-1,-3,13,5,3,1,6
0,5,-10,16,6,2,-2,-2
-2,-8,15,3,-3,-5,-3,-2
-4,0,11,-9,-5,1,-3,-2
-3,9,-13,0,2,5,1,1
6,6,-2,1,4,1,1,0
-1,-19,-16,10,0,3,1,-1
-3,-5,-6,-1,7,0,-1,-3
-4,-2,30,19,-6,-8,-3,0
-4,3,3,13,0,0,-3,-3
-1,-5,-19,-18,-5,-4,0,-1
2,1,-3,-11,1,1,-2,0
1,-3,-7,-18,2,3,0,1
-2,-10,3,4,-8,-4,-2,0
-1,5,9,11,4,-3,-2,-4
-6,7,0,-9,6,2,11,3
8,-1,0,-34,-30,-9,-1,8
2,-12,-2,51,62,9,-14,-15
0,5,3,-19,-8,0,2,0
7,0,-1,32,-4,-2,-2,-1
-11,11,5,-19,5,3,1,-2
0,-22,-1,-6,-4,-5,2,-2
-13,2,1,25,4,-1,-4,3
-4,2,-12,-3,6,0,-4,-6
5,-3,-3,-1,-5,2,0,5
-3,4,19,-16,-17,-6,0,3
0,2,-36,-14,-4,-2,-5,-2
1,-4,-7,-9,-2,-2,2,0
-4,-8,-7,24,8,3,0,-1
1,14,7,-8,-7,2,1,1
-2,2,14,11,-2,-2,-1,-4
2,-3,3,-9,-7,-5,-6,-2
-4,16,-11,7,6,4,14,12
37,1,-3,-21,-9,8,30,61
33,-54,-13,18,-10,-24,-32,11
-60,-33,-4,-2,3,-6,-30,-80
-10,-7,4,3,-2,-6,-12,21
-11,14,-5,-6,-14,-4,-3,-10
-10,27,11,-17,-5,7,29,47
29,10,3,-1,-1,1,1,16
-20,-17,-8,14,-1,-5,6,-5
-9,1,-6,-26,-7,5,5,-17
2,8,0,2,3,6,11,83
8,-9,-1,-7,-5,-10,-15,-89
-19,17,6,6,1,-1,-26,-55
39,-13,-15,-10,-9,-10,-1,25
-15,0,12,2,8,8,-9,50
-24,7,-5,-8,-4,9,44,26
12,-20,3,12,-9,-17,-42,-99
-67,19,-2,-6,4,-5,-11,65
41,-30,-7,3,-8,-4,-8,-28
13,33,16,-5,0,-1,13,-33
-11,3,3,-9,2,9,32,127
4,52,-10,6,-3,5,0,-17
62,-15,-2,14,-16,-5,33,39
-33,-63,-16,-5,5,-13,-60,-52
-6,-14,-1,-12,-5,-4,-7,85
-8,-11,2,-3,-9,-1,27,82
-42,72,6,-26,4,12,52,81
18,-60,-6,-8,-8,-9,-56,-26
39,10,-2,7,-3,-1,0,12
-27,-9,-7,-28,-4,-8,-7,61
-22,38,11,9,9,11,13,80
24,-20,-14,-8,-1,-3,16,-39
-12,-8,-1,5,1,-7,35,64
8,-8,-9,-2,-2,21,46,-119
-64,12,1,1,-5,-40,-81,-128
-13,58,28,19,3,0,-5,127
70,-61,-10,-12,-1,4,13,-22
57,49,8,9,8,13,59,104
53,-89,-20,-8,-8,-11,-47,-128
-111,-81,-20,-32,-17,-18,-33,127
-10,98,-7,-10,-10,-2,31,92
-29,66,6,23,3,-7,-44,-19
-4,9,20,-7,3,17,29,8
82,-21,8,10,0,-2,10,127
30,-26,-2,4,8,4,-43,-128
-64,-4,-4,-5,-4,3,21,61
-36,56,-8,-5,-1,-3,-13,107
5,0,2,9,5,1,-17,-105
-48,-75,-5,2,2,12,52,82
-44,80,23,-1,3,-9,-42,-128
49,-124,-23,-7,-1,-1,-43,44
-88,85,-6,-9,-6,5,31,40
66,37,10,8,10,2,81,81
5,-8,-22,-3,-5,-25,-112,-64
-38,99,39,10,8,4,37,118
115,58,-27,-12,-11,-1,42,42
-73,-9,-6,-3,-2,1,-42,-37
64,-43,-5,-8,-7,-6,20,127
-20,-17,1,7,6,9,10,25
11,111,3,-3,-3,3,35,-50
27,-71,-9,-2,-3,-6,-24,14
64,-15,15,-1,-5,-23,0,11
-117,104,22,3,5,24,6,-29
67,-115,-43,-10,-3,-1,12,-33
-53,29,-14,-5,-1,0,-17,-71
-36,-24,2,2,1,3,-2,-69
41,81,-4,-7,-6,0,87,114
-38,-40,15,14,18,12,-34,-27
